Time (s),Torque (Nm)
10.773,0.700
10.784,1.506
10.794,-0.307
10.805,1.506
10.816,0.700
10.826,0.498
10.837,0.901
10.847,-0.912
10.858,0.498
10.868,0.096
10.879,-1.718
10.890,-0.307
10.900,-0.509
10.911,-0.307
10.921,0.297
10.932,-0.307
10.942,-0.912
10.953,-0.307
10.964,-1.516
10.974,-1.113
10.985,-0.307
10.995,-1.315
11.006,-0.307
11.016,0.297
11.027,-1.919
11.039,-0.912
11.049,-2.322
11.059,-0.912
11.069,-1.516
11.080,-2.322
11.090,-0.912
11.101,0.096
11.111,-1.113
11.122,0.498
11.133,-0.710
11.143,0.096
11.154,-0.307
11.164,-1.919
11.175,-0.710
11.185,-1.919
11.196,-2.120
11.207,0.498
11.217,-0.509
11.228,-1.919
11.238,0.498
11.249,-0.106
11.259,0.297
11.270,1.304
11.280,-0.710
11.291,0.297
11.302,1.103
11.312,-0.307
11.323,0.700
11.333,0.901
11.344,0.297
11.354,1.707
11.365,-1.113
11.375,0.700
11.386,1.304
11.397,-0.106
11.407,0.498
11.418,1.506
11.428,0.297
11.439,1.707
11.449,0.498
11.460,0.498
11.470,0.700
11.481,-1.516
11.492,0.700
11.502,1.304
11.513,0.096
11.523,0.901
11.534,1.506
11.544,0.297
11.555,1.909
11.565,-0.106
11.576,0.297
11.587,0.297
11.597,-1.113
11.608,0.096
11.618,0.096
11.629,-0.710
11.639,-1.516
11.650,-1.516
11.661,-1.919
11.671,-0.710
11.682,0.096
11.692,-2.120
11.703,0.096
11.713,-1.516
11.724,-1.516
11.735,-0.509
11.745,-0.509
11.756,0.901
11.766,0.700
11.777,0.700
11.787,1.506
11.798,-2.725
11.808,0.901
11.819,1.506
11.831,0.096
11.840,1.103
11.851,1.506
11.861,0.498
11.872,2.110
11.882,0.498
11.893,0.901
11.903,1.506
11.914,-1.718
11.924,0.700
11.935,1.103
11.946,0.297
11.956,1.103
11.967,1.506
11.977,0.700
11.988,1.909
11.998,0.901
12.009,0.901
12.019,1.506
12.030,-0.106
12.041,0.901
12.051,1.304
12.062,0.498
12.072,1.707
12.083,1.304
12.093,0.700
12.104,1.506
12.114,-0.307
12.125,0.901
12.135,1.304
12.146,0.297
12.157,0.700
12.167,1.506
12.178,-0.307
12.188,-0.307
12.199,-1.919
12.209,0.297
12.220,1.103
12.231,-1.516
12.241,-2.322
12.252,-1.113
12.262,-1.315
12.273,2.110
